name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Moutinho,WOL,MID,5.5,Available,85,3,0,3.0,3.2
Patrício,WOL,GKP,5.5,Available,90,6,0,6.0,6.4
Bennett,WOL,DEF,4.5,Available,0,0,0,0.0,0.4
Boly,WOL,DEF,5.5,Available,90,6,0,6.0,2.4
Coady,WOL,DEF,5.0,Available,90,8,2,8.0,9.4
Jiménez,WOL,FWD,8.5,Available,90,8,2,8.0,19.4
Saïss,WOL,DEF,5.0,Available,90,15,3,15.0,4.4
Jonny,WOL,DEF,5.5,Injured,0,0,0,0.0,0.0
Bonatini,WOL,FWD,5.0,Available,0,0,0,0.0,0.4
Dendoncker,WOL,MID,5.0,Available,90,3,0,3.0,2.3
Traoré,WOL,MID,6.5,Available,90,3,0,3.0,19.5
Neves,WOL,MID,5.5,Available,14,1,0,1.0,2.6
Buur,WOL,DEF,4.0,Available,22,1,0,1.0,2.2
Jota,WOL,MID,6.5,Available,0,0,0,0.0,3.2
Podence,WOL,MID,5.5,Available,75,6,0,6.0,0.5
Kilman,WOL,DEF,4.0,Available,0,0,0,0.0,1.9
Vinagre,WOL,DEF,4.5,Available,0,0,0,0.0,8.7
Sarkic,WOL,GKP,4.5,Available,0,0,0,0.0,0.2
Gibbs-White,WOL,MID,5.0,NotAvail,0,0,0,0.0,0.0
Neto,WOL,MID,5.5,Available,67,6,0,6.0,0.4
Jordao,WOL,MID,4.5,Available,0,0,0,0.0,0.7
Campana,WOL,FWD,5.0,Available,0,0,0,0.0,0.4
Fabio Silva,WOL,FWD,5.5,Available,0,0,0,0.0,1.3
Marçal,WOL,DEF,5.0,Available,90,5,0,5.0,0.3
Vitinha,WOL,MID,5.0,Available,4,1,0,1.0,0.0
